,model_version,trained_through,model_rsq,epa_rsq,margin_rsq,rsq_lift,features,combiner,forward_model_rsq_next_season,forward_margin_rsq_next_season,forward_rsq_lift_next_season,forward_model_rsq_all_future_seasons,forward_margin_rsq_all_future_seasons,forward_rsq_lift_all_future_seasons,tos_three_quarters_int,special_teams_all,d_plays_all_boosted
0,3.0,1999,0.4795195697667154,0.337333083152771,0.3361433148384094,0.1421864866139444,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.15708394160471617,0.4993850588798523,-0.6854452514917768,0.22330501482593734,0.2620862126350403,-0.14797114819277601,0.9225534896865811,0.4351520687087701,1.0
1,3.0,2000,0.4215419020257438,0.40926432609558105,0.4042307734489441,0.012277575930162765,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.32063663911902396,0.2759785056114197,0.16181743360290302,0.2435849636567593,0.25284266471862793,-0.0366144735587679,0.2845722685231036,0.8051577560141179,0.07650023573177547
2,3.0,2001,0.3924356497371204,0.3661178946495056,0.3643924593925476,0.026317755087614803,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.17859049175229802,0.20335745811462402,-0.12179030261268264,0.2442944188481947,0.2521825432777405,-0.031279422941096424,0.4330379827993723,0.8552066135190877,0.2543982478217862
3,3.0,2002,0.3445836695157989,0.32794445753097534,0.32600128650665283,0.016639211984823543,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.25154046715642275,0.26824039220809937,-0.06225730925236983,0.2676619204968418,0.25421464443206787,0.052897330501222806,0.36781238496991076,0.48186554637793944,0.3786302027070721
4,3.0,2003,0.32707053702552213,0.31562888622283936,0.312461793422699,0.011441650802682779,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.2953692095409579,0.21468502283096313,0.3758258757227011,0.2735799014285547,0.25359469652175903,0.0788076611258346,0.3357649995814308,0.2561351012423859,0.41797840599568264
5,3.0,2004,0.321755770892469,0.29654794931411743,0.2977009415626526,0.025207821578351552,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.32530158445508406,0.2909371852874756,0.11811621513301218,0.2754301914910523,0.25656700134277344,0.07352149750184611,0.31526738678885374,0.030320457126707098,0.5112546918512282
6,3.0,2005,0.32225606816196695,0.29543888568878174,0.29570454359054565,0.026817182473185208,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.29866718286920324,0.3148861527442932,-0.051507409054791786,0.2728973978183641,0.254746675491333,0.07125008517588527,0.3419659469357607,0.04417327700953179,0.5465844353155254
7,3.0,2006,0.3173511214799376,0.2944847345352173,0.2948492169380188,0.02286638694472032,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.3279273344907605,0.2566259503364563,0.2778416760301232,0.27202539298051087,0.2528575658798218,0.07580483911562763,0.3221424029350563,0.004958558049664746,0.5172952540256748
8,3.0,2007,0.3194893071484264,0.2884766459465027,0.2903760075569153,0.031012661201923697,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.3724692911171732,0.3657901883125305,0.01825938206668365,0.2674639481335851,0.25256961584091187,0.05897119589418409,0.38259752623538645,0.03240763065340096,0.5906680814226155
9,3.0,2008,0.3251922665697079,0.29632794857025146,0.2980329394340515,0.028864317999456435,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.28094768477163157,0.3091897964477539,-0.09134231465783382,0.2611616170259339,0.2457718849182129,0.06261795206088094,0.3868879179171578,0.11788698578476137,0.5651893547347886
10,3.0,2009,0.3184311349646649,0.2966885566711426,0.29674720764160156,0.02174257829352233,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.31947670285389096,0.2586680054664612,0.2350839535711895,0.2603826886227507,0.24088972806930542,0.08092067980514739,0.35191292085100556,0.032312487097653914,0.5483983396368747
11,3.0,2010,0.3166398000709577,0.29254627227783203,0.29310131072998047,0.02409352779312568,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.39309871514697614,0.29660195112228394,0.3253409617150773,0.2577368610512031,0.24076294898986816,0.07050051568378657,0.379818391390518,0.10591868431586432,0.5574548707897411
12,3.0,2011,0.3235430054517072,0.29274576902389526,0.2915884852409363,0.030797236427811958,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.28284785546261193,0.22515851259231567,0.25621657474150994,0.24397046462705452,0.23608863353729248,0.03338505107878076,0.4224242161741943,0.14854234449448311,0.6024493757571578
13,3.0,2012,0.3195547959692717,0.2863762378692627,0.2850572466850281,0.033178558100009026,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.211213057514413,0.2482631802558899,-0.14923728401162262,0.24076146887794403,0.23809325695037842,0.011206583343608578,0.411098354597327,0.1196028206196179,0.6139200187609243
14,3.0,2013,0.3100398175078076,0.2827518582344055,0.2807518243789673,0.027287959273402107,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.2043799432192337,0.2424643635749817,-0.1570722385517509,0.24664309734847023,0.2376314401626587,0.03792283201096236,0.4023826976399545,0.10559054881108712,0.5927257712481828
15,3.0,2014,0.3029993804978339,0.28015410900115967,0.2781301736831665,0.022845271496674258,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.12653801384090113,0.1477048397064209,-0.14330489039892724,0.2526122487472229,0.23761075735092163,0.0631347316238966,0.38302789895633016,0.09294174425004045,0.575415328503007
16,3.0,2015,0.2913800949557378,0.27126866579055786,0.27036088705062866,0.02011142916517994,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.4712437915152332,0.3186335563659668,0.47895217594089745,0.27310471898713573,0.251311719417572,0.08671700476233313,0.3722596733524371,0.09949507064460547,0.5588430500979676
17,3.0,2016,0.2965439894920727,0.2729983925819397,0.2729948163032532,0.023545596910133026,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.266652590863406,0.2769741415977478,-0.037265394793900675,0.2577505476201062,0.2457922101020813,0.0486522234087825,0.36656205668938957,0.08000251659484003,0.566615790013084
18,3.0,2017,0.29493771845909866,0.27319568395614624,0.27307218313217163,0.021742034502952423,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.3872309058434119,0.40318286418914795,-0.03956507025123068,0.2566680333044974,0.2411271333694458,0.06445106246604126,0.3641347928779461,0.09083566044431848,0.5582364028860622
19,3.0,2018,0.2984202113827492,0.27801841497421265,0.27815091609954834,0.020401796408536566,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.14351804270622281,0.11207115650177002,0.28059749882170726,0.23622938820361994,0.21794360876083374,0.08390142545016133,0.3596726668029253,0.10489688178923275,0.5521693480231528
20,3.0,2019,0.2884385027708227,0.2642033100128174,0.26596301794052124,0.02423519275800534,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.30941239458234693,0.33380866050720215,-0.0730845805132394,0.2727673144000612,0.2666134834289551,0.023081469443933633,0.3605198166376713,0.10697720998707831,0.5596767351364211
21,3.0,2020,0.2893594092365116,0.26723790168762207,0.26853471994400024,0.02212150754888953,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.2441243447677719,0.20710933208465576,0.17872208997316585,0.25945546825173826,0.24341529607772827,0.06589631971561882,0.3555283399044421,0.09709835994062316,0.5564398146807606
22,3.0,2021,0.2871734166622073,0.26384931802749634,0.2651618719100952,0.023324098634710966,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.24970734579031573,0.2065354585647583,0.2090289363655251,0.27049146473363983,0.275080144405365,-0.016681246411457296,0.35691777622849147,0.092933388081571,0.5590888243385419
23,3.0,2022,0.2858243997723068,0.2620062828063965,0.2630048394203186,0.023818116965910296,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,0.2958865471330432,0.33975136280059814,-0.12910857900899564,0.2958865471330432,0.33975136280059814,-0.12910857900899564,0.35983967201792927,0.1027038960628912,0.5640312356282364
24,3.0,2023,0.28617392790006635,0.2645303010940552,0.26507019996643066,0.021643626806011174,"tos_three_quarters_int, special_teams_all, d_plays_all_boosted",multiplicative,,,,,,,0.3593241753821238,0.10946578802913415,0.5577462839259023
